step:75,102,0,23,0,212,0,273,0,228,0,227,0,34,0,101,0
step:76,0,84,0,165,0,227,0,206,0,240,0,118,0,79,0,81
step:77,66,0,117,0,310,0,115,0,110,0,304,0,110,0,68,0
step:78,0,155,0,272,0,112,0,147,0,96,0,257,0,155,0,6
step:79,93,0,257,0,148,0,122,0,118,0,116,0,266,0,80,0
step:80,0,221,0,184,0,136,0,12,0,167,0,188,0,226,0,66
step:81,222,0,118,0,235,0,42,0,45,0,233,0,96,0,209,0
step:82,0,111,0,140,0,142,0,43,0,155,0,111,0,100,0,398
step:83,295,0,33,0,220,0,52,0,49,0,229,0,23,0,299,0
step:84,0,72,0,108,0,163,0,17,0,178,0,120,0,55,0,487
step:85,242,0,158,0,53,0,145,0,119,0,51,0,168,0,264,0
step:86,0,243,0,105,0,70,0,181,0,87,0,97,0,242,0,175
step:87,137,0,253,0,48,0,144,0,149,0,34,0,253,0,182,0
step:88,0,139,0,231,0,8,0,313,0,10,0,214,0,157,0,128
step:89,112,0,184,0,167,0,146,0,148,0,139,0,188,0,116,0
step:90,0,0,0,232,0,158,0,155,0,161,0,241,0,1,0,252
step:91,103,0,32,0,288,0,162,0,166,0,336,0,26,0,87,0
step:92,0,81,0,42,0,432,0,11,0,439,0,36,0,71,0,88
step:93,81,0,58,0,193,0,283,0,280,0,157,0,63,0,85,0
step:94,0,69,0,62,0,283,0,312,0,280,0,65,0,72,0,57
step:95,27,0,98,0,106,0,344,0,375,0,112,0,105,0,33,0
step:96,0,44,0,124,0,32,0,706,0,58,0,123,0,49,0,64
step:97,44,0,99,0,86,0,375,0,378,0,85,0,86,0,47,0
step:98,0,109,0,37,0,203,0,445,0,230,0,28,0,134,0,14
step:99,70,0,63,0,48,0,428,0,403,0,54,0,68,0,66,0
step:100,0,109,0,44,0,273,0,344,0,247,0,42,0,100,0,41
step:101,73,0,66,0,201,0,265,0,239,0,195,0,79,0,82,0
step:102,0,19,0,222,0,73,0,457,0,77,0,198,0,18,0,136
step:103,82,0,133,0,128,0,237,0,267,0,112,0,156,0,85,0
step:104,0,67,0,183,0,186,0,150,0,191,0,214,0,79,0,130
step:105,118,0,161,0,183,0,145,0,152,0,163,0,176,0,102,0
step:106,0,214,0,108,0,188,0,143,0,162,0,104,0,247,0,34
step:107,148,0,107,0,271,0,71,0,64,0,286,0,105,0,148,0
step:108,0,162,0,230,0,83,0,62,0,98,0,224,0,191,0,150
step:109,114,0,287,0,97,0,90,0,84,0,101,0,328,0,99,0
step:110,0,187,0,165,0,153,0,9,0,171,0,155,0,168,0,192
step:111,204,0,251,0,94,0,72,0,65,0,100,0,246,0,168,0
step:112,0,245,0,181,0,69,0,76,0,56,0,173,0,233,0,167
step:113,275,0,108,0,124,0,74,0,72,0,128,0,112,0,307,0
step:114,0,61,0,192,0,29,0,139,0,34,0,177,0,72,0,496
step:115,272,0,152,0,99,0,100,0,93,0,106,0,131,0,247,0
step:116,0,157,0,37,0,130,0,82,0,140,0,38,0,193,0,423
step:117,408,0,28,0,63,0,115,0,109,0,71,0,22,0,384,0
step:118,0,234,0,10,0,147,0,54,0,169,0,13,0,236,0,337
step:119,280,0,102,0,107,0,112,0,101,0,94,0,90,0,314,0
step:120,0,75,0,108,0,67,0,122,0,70,0,100,0,90,0,568
step:121,281,0,123,0,146,0,69,0,82,0,122,0,118,0,259,0
step:122,0,219,0,132,0,73,0,101,0,81,0,146,0,205,0,243
step:123,233,0,171,0,122,0,77,0,89,0,105,0,180,0,223,0
step:124,0,411,0,45,0,120,0,75,0,105,0,42,0,374,0,28
step:125,190,0,232,0,67,0,125,0,122,0,40,0,243,0,181,0
step:126,0,205,0,199,0,13,0,225,0,11,0,192,0,186,0,169
step:127,203,0,133,0,128,0,119,0,118,0,139,0,120,0,240,0
step:128,0,13,0,184,0,78,0,179,0,80,0,208,0,9,0,449
step:129,216,0,56,0,180,0,122,0,137,0,199,0,72,0,218,0
step:130,0,104,0,89,0,216,0,97,0,215,0,80,0,115,0,284
step:131,193,0,71,0,132,0,176,0,165,0,157,0,89,0,217,0
step:132,0,259,0,107,0,56,0,322,0,45,0,130,0,248,0,33
step:133,65,0,284,0,34,0,193,0,198,0,26,0,317,0,83,0
step:134,0,180,0,211,0,53,0,333,0,51,0,166,0,189,0,17
step:135,18,0,328,0,84,0,176,0,164,0,63,0,343,0,24,0
step:136,0,164,0,247,0,158,0,85,0,142,0,187,0,205,0,12
